auditory_attention,visual_attention,interest,stress,engagement,class
0.52303375,0.48117175,0.5504385,0.35825525,0.69584325,funny
0.50967825,0.4644705,0.55737375,0.39159,0.6948755,funny
0.50080225,0.45258875,0.5460545,0.44928275,0.7156415,funny
0.502063,0.44614325,0.53195775,0.475772,0.735823,funny
0.4987045,0.431946,0.524261,0.4687795,0.72853425,funny
0.49442925,0.4242945,0.52591225,0.49199175,0.714006,funny
0.49282,0.422705,0.52442325,0.5357265,0.686221,funny
0.49532825,0.42500175,0.5225645,0.54529475,0.67191675,funny
0.50172775,0.43018925,0.520415,0.50902825,0.68098825,funny
0.508761,0.4380045,0.51609175,0.44820625,0.70923325,funny
0.5175795,0.44434625,0.51395025,0.441771,0.72525925,funny
0.52645025,0.44960775,0.51522775,0.45244075,0.71865375,funny
0.52882275,0.45080575,0.520008,0.5106315,0.709557,funny
0.525116,0.45451275,0.52533925,0.5528785,0.710829,funny
0.51861275,0.45400275,0.5287875,0.542078,0.718335,funny
0.51503025,0.4506865,0.5271235,0.53730075,0.72212425,funny
0.51609825,0.4505265,0.52822475,0.588136,0.7164755,funny
0.5250705,0.46278625,0.537589,0.5465825,0.710054,funny
0.53157425,0.46809925,0.536281,0.47851575,0.7132145,funny
0.5274525,0.4605185,0.52851825,0.45351875,0.71895625,funny
0.5176435,0.45012725,0.52970275,0.449333,0.71272475,funny
0.5106795,0.441312,0.53452675,0.470051,0.6950145,funny
0.508787,0.43665,0.53889275,0.498345,0.6770195,funny
0.51297225,0.44118625,0.53529775,0.51272775,0.664704,funny
0.5152155,0.44826,0.52981625,0.5119605,0.652998,funny
0.520027,0.46288475,0.5276865,0.4843935,0.645308,funny
0.526905,0.4793025,0.52696,0.43473775,0.645919,funny
0.532186,0.48141475,0.5287865,0.40686525,0.64538975,funny
0.53533375,0.47463625,0.52962925,0.38894375,0.633789,funny
0.53087475,0.4687375,0.53201825,0.35737225,0.62031675,funny
0.52231575,0.466947,0.53476425,0.36154475,0.643373,funny
0.510228,0.46651075,0.54136425,0.44590625,0.701977,funny
0.49935475,0.47230875,0.558013,0.518758,0.74790375,funny
0.4972245,0.48285225,0.55688775,0.544633,0.768538,funny
0.50417975,0.49324625,0.54682575,0.5599805,0.77047175,funny
0.50887375,0.49997775,0.543871,0.5667085,0.76591875,funny
0.51539425,0.5075115,0.5479675,0.57706075,0.76136825,funny
0.52611725,0.518093,0.5648385,0.57763875,0.75925575,funny
0.539944,0.52835725,0.56433175,0.54603425,0.763286,funny
0.55050625,0.52477825,0.552568,0.5160745,0.7659065,funny
0.56172675,0.51758375,0.54294625,0.494214,0.7640645,funny
0.571577,0.51484325,0.5369185,0.47866675,0.75730625,funny
0.57864025,0.5134875,0.534377,0.45016025,0.747697,funny
0.57507875,0.516127,0.53254825,0.418715,0.73142375,funny
0.5624595,0.5178935,0.53630475,0.4609735,0.71870775,funny
0.54563625,0.51059875,0.54054075,0.49010775,0.696354,funny
0.51542975,0.4908595,0.53932025,0.57207825,0.681522,funny
0.48796925,0.47389725,0.534152,0.6182335,0.6643155,funny
0.469535,0.46510375,0.5464405,0.5893585,0.64328975,funny
0.46180925,0.4633795,0.563084,0.58161875,0.6219415,funny
0.44897925,0.44696575,0.55922625,0.565121,0.60964975,funny
0.437743,0.43194675,0.546083,0.5346735,0.59985875,funny
0.42925375,0.422762,0.53980275,0.54163975,0.5997925,funny
0.42259425,0.41476475,0.53885925,0.567629,0.60774175,funny
0.42518925,0.40890175,0.53957025,0.577315,0.623063,funny
0.44851975,0.4213585,0.54110925,0.5612895,0.64275175,funny
0.47653925,0.43896725,0.539972,0.52099275,0.66675425,funny
0.4869855,0.4611915,0.539446,0.52597275,0.68437825,funny
0.48147575,0.47642025,0.5403245,0.53141525,0.695926,funny
0.47689875,0.48629825,0.537691,0.528716,0.71029,funny
0.4774965,0.48709425,0.53593425,0.5502925,0.71841125,funny
0.4834255,0.48327475,0.53582825,0.5848695,0.71024525,funny
0.48366025,0.47899,0.54143425,0.63483075,0.68910375,funny
0.47926725,0.47059775,0.548051,0.63808475,0.6634695,funny
0.48079625,0.45218475,0.54595425,0.61672175,0.63844975,funny
0.490854,0.43672275,0.57596025,0.55274375,0.63160075,funny
0.495465,0.44064275,0.60798125,0.5305855,0.62702,funny
0.49454875,0.443568,0.579621,0.59988075,0.623237,funny
0.490409,0.427651,0.56057825,0.67645175,0.637841,funny
0.48838675,0.42593775,0.557479,0.6719985,0.65832625,funny
0.49192175,0.42762075,0.5534055,0.6783975,0.67090025,funny
0.492617,0.435912,0.54939925,0.66230075,0.67241075,funny
0.488894,0.44382,0.546775,0.60514625,0.66868625,funny
0.4858765,0.4408685,0.549019,0.5946005,0.65955025,funny
0.47720525,0.43152725,0.5490515,0.60698175,0.644644,funny
0.479438,0.42459875,0.544535,0.5899055,0.6416465,funny
0.495836,0.43581425,0.543192,0.56201,0.6587995,funny
0.5128195,0.4522385,0.5457305,0.60836125,0.68044825,funny
0.51293375,0.461873,0.551483,0.80546825,0.6911655,funny
